numeroCamara,numeroSenado,tituloCorto,tipo,autores,estado,comision,origen,cuatrenio,legislatura,url,tituloLargo,objeto
425/2023C,195/2022S,"ENERGIA ENTIDADES PUBLICAS","Ley Ordinaria","[""H.S.David Andrés Luna Sánchez"",""H.S.Marcos Daniel Pineda García"",""H.S.Juan Pablo Gallo Maya"",""H.S.Guido Echeverri Piedrahita"",""H.S.Miguel Uribe Turbay""]","Trámite en Comisión","Comisión Quinta Constitucional Permanente",Senado,2022-2026,2022-2023,https://www.camara.gov.co/energia-entidades-publicas,"POR MEDIO DE LA CUAL SE ADOPTAN MEDIDAS PARA PROMOVER EL USO RACIONAL Y EFICIENTE DE ENERGÍA, SE ESTABLECEN LINEAMIENTOS PARA LOS PLANES DE EFICIENCIA ENERGÉTICA DE LAS ENTIDADES PÚBLICAS, SE INCENTIVAN CONSTRUCCIONES SOSTENIBLES Y SE DICTAN OTRAS DISPOSICIONES","La presente Ley tiene como objeto adoptar medidas para promover el uso racional y eficiente de energía, establecer los lineamientos para los planes de eficiencia energética de las entidades públicas, incentivar construcciones sostenibles, modificar la Ley 2099 de 2021 y dictar otras disposiciones"
424/2023C,002/2022S,"PROGRAMA AMPLIADO DE INMUNIZACIONES - PAI","Ley Ordinaria","[""H.S.Norma Hurtado Sánchez""]","","Comisión Séptima Constitucional Permanente",Senado,2022-2026,2022-2023,https://www.camara.gov.co/programa-ampliado-de-inmunizaciones-pai,"Por medio de la cual se ordena la modernización y actualización permanente del Programa Ampliado de Inmunizaciones – PAI – y se dictan otras disposiciones","La presente Ley tiene por objeto ordenar y financiar la modernización y actualización permanente del Programa Ampliado de Inmunizaciones – PAI – como estrategia de acción preventiva prioritaria para la garantía del derecho fundamental a la salud."
423/2023C,124/2022S,"SISTEMA CENAGOSO DE LA ZAPATOSA","Ley Ordinaria","[""H.S.Didier Lobo Chinchilla"",""H.S.Jorge Enrique Benedetti Martelo"",""H.S.Antonio Luis Zabaraín Guevara"",""H.S.Arturo Char Chaljub"",""H.S.Carlos Abraham Jiménez"",""H.S.Carlos Mario Farelo Daza"",""H.S.Edgar Díaz Contreras"",""H.S.Jose Luis Pérez Oyuela"",""H.R.Hernando González"",""H.R.John Edgar Pérez Rojas"",""H.R.Jorge Méndez Hernández"",""H.R.Lina María Garrido Martín"",""H.R.Mauricio Parodi Díaz"",""H.R.Modesto Enrique Aguilera Vides"",""H.R.Nestor Leonardo Rico Rico"",""H.R.Víctor Andrés Tovar Trujillo"",""H.R.Betsy Judith Pérez Arango"",""H.R.Javier Alexander Sánchez Reyes"",""H.R.Adriana Carolina Arbeláez Giraldo""]","","Comisión Quinta Constitucional Permanente",Senado,2022-2026,2022-2023,https://www.camara.gov.co/sistema-cenagoso-de-la-zapatosa,"Por medio del cual se declara zona de interés ambiental, turístico y ecológico del sistema cenagoso de Zapatosa en los departamentos del cesar y el magdalena, se reconoce su potencial pesquero y se dictan otras disposiciones","La presente iniciativa legislativa busca declarar la ciénaga del sistema cenagoso de la Zapatosa ubicada en los departamentos del Cesar y el Magdalena como zona de interés ambiental, turístico y ecológico para efectos de resaltar su recuperación ambiental, implementar su estrategia turística y resaltar su vocación pesquera que pretende promover la seguridad alimentaria de los habitantes de la zona."
422/2023C,038/2022S,"TURISMO DE AVES","Ley Ordinaria","[""H.S.Soledad Tamayo Tamayo"",""H.S.Nadya Georgette Blel Scaf"",""H.S.Juan Carlos García Gómez"",""H.S.Ana Maria Castañeda Gómez"",""H.S.Efraín José Cepeda Sarabia"",""H.S.Miguel Angel Barreto Castillo"",""H.S.José Alfredo Marín Lozano"",""H.S.Carlos Andres Trujillo Gonzalez"",""H.R.Julio Roberto Salazar Pérdomo""]","Trámite en Plenaria","Comisión Sexta o de Transportes y Comunicaciones",Senado,2022-2026,2022-2023,https://www.camara.gov.co/turismo-de-aves,"Por medio de la cual se promueve el turismo de aves como estrategia de conservación y desarrollo rural","La presente ley tiene como objeto la promoción y reconocimiento del turismo de aves como estrategia de conservación y desarrollo rural."
421/2023C,220/2022S,"DIA DIVERSIDAD ÉTNICA","Ley Ordinaria","[""H.S.Aida Yolanda Avella Esquivel"",""H.S.María José Pizarro Rodríguez"",""H.S.Isabel Cristina Zuleta López"",""H.S.Sandra Yaneth Jaimes Cruz"",""H.S.Jael Quiroga Carrillo"",""H.S.Clara Eugenia López Obregón"",""H.R.Alirio Uribe Muñoz"",""H.R.David Ricardo Racero Mayorca"",""H.R.Martha Lisbeth Alfonso Jurado"",""H.R.William Ferney Aljure Martínez"",""H.R.Agmeth José Escaf Tijerino"",""H.R.Eduard Giovanny Sarmiento Hidalgo"",""Ministra de Cultura - Patricia Elia Ariza Florez""]","Sancion Presidencial","Comisión Segunda o de Relaciones Internacionales",Senado,2022-2026,2022-2023,https://www.camara.gov.co/dia-diversidad-etnica,"POR MEDIO DEL QUE SE ESTABLECE EL 12 DE OCTUBRE DE CADA AÑO COMO EL DÍA DE LA DIVERSIDAD ÉTNICA Y CULTURAL DE LA NACIÓN COLOMBIANA",""
420/2023C,150/2022S,"CONCURSOS INDEPENDIENTES","Ley Ordinaria","[""H.S.Laura Esther Fortich Sanchez"",""H.S.Manuel Antonio Virgüez Piraquive"",""H.S.Carlos Eduardo Guevara villabón"",""H.S.Alejandro Carlos Chacón Camargo"",""H.S.Juan Felipe Lemos Uribe"",""H.S.Nadya Georgette Blel Scaf"",""H.S.Efraín José Cepeda Sarabia"",""H.S.Soledad Tamayo Tamayo"",""H.S.John Jairo Roldán Avendaño"",""H.S.Beatriz Lorena Ríos Cuellar"",""H.S.Karina Espinosa Oliver"",""H.S.Claudia María Pérez Giraldo"",""H.R.Elizabeth Jay-Pang Díaz"",""H.R.Ana Paola Agudelo García"",""H.R.César Cristian Gómez Castro"",""H.R.Dolcey Oscar Torres Romero"",""H.R.Irma Luz Herrera Rodríguez"",""H.R.Silvio José Carrasquilla Torres""]","Trámite en Plenaria","Comisión Séptima Constitucional Permanente",Senado,2022-2026,2022-2023,https://www.camara.gov.co/concursos-independientes,"POR MEDIO DE LA CUAL SE MODIFICA EL RÉGIMEN DE ACCESO Y ASCENSO EN LA CARRERA ADMINISTRATIVA, SE CREAN LOS CONCURSOS INDEPENDIENTES PARA PERSONAS CON DISCAPACIDAD, SE ESTABLECE LA GRATUIDAD DE LA INCRIPCIÓN PARA ESTE SEGMENTO POBLACIONAL Y SE DICTAN OTRAS DISPOSICIONES"" O ""LEY DE CONCURSOS INDEPENDIENTES PARA PERSONAS CON DISCAPACIDAD","La presente ley modifica el régimen de acceso y ascenso en los concursos de carrera administrativa, se establecen medidas afirmativas para la provisión de puestos de trabajo por personas con discapacidad, se crean los concursos independientes para personas con discapacidad, se establece la gratuidad de la inscripción para concursos independientes de personas con discapacidad y se dictan otras disposiciones tendientes a garantizar la superación de circunstancias de desprotección y desigualdad de personas con discapacidad en el acceso al empleo público."
419/2023C,,"REFORMA PARCIAL A LA LEY  30 DE 1992","Ley Ordinaria","[""H.R.Jaime Raúl Salamanca Torres""]","Trámite en Plenaria","Comisión Sexta o de Transportes y Comunicaciones","Cámara",2022-2026,2022-2023,https://www.camara.gov.co/reforma-parcial-a-la-ley-30-de-1992,"Por la cual se modifica parcialmente la ley 30 de 1992 por la cual se organiza el servicio público de educación superior y se dictan otras disposiciones","La presente ley tiene por objeto modificar de manera parcial la Ley 30 de 1992 con el fin de actualizar la norma a las exigencias actuales de la educación superior en el país modificando aspectos relativos a los fundamentos de la educación superior, al Consejo Nacional de Educación Superior (CESU), al régimen especial de las Universidades del Estado y de las otras Instituciones de Educación Superior Estatales u Oficiales (IESP), a las IES de carácter privado y de economía solidaria, al régimen estudiantil, y a otras disposiciones tendientes a reformar el servicio público de educación superior"
418/2023C,111/2022S,"CÓDIGO ELECTORAL","Ley Estatutaria","[""H.S.Roy Leonardo Barreras Montealegre"",""H.S.Gustavo Bolivar Moreno"",""H.S.Isabel Cristina Zuleta López"",""H.R.David Ricardo Racero Mayorca"",""H.R.Eduard Giovanny Sarmiento Hidalgo"",""H.R.John Jairo González Agudelo"",""H.R.Jorge Hernán Bastidas Rosero"",""H.R.Pedro José Súarez Vacca"",""H.R.Carlos Adolfo Ardila Espinosa"",""H.R.Luz María Múnera Medina"",""H.R.Andrés David Calle Aguas"",""H.R.Dolcey Oscar Torres Romero"",""H.R.Álvaro Henry Monedero Rivera"",""Ministro del Interior - Alfonso Prada Gil"",""Presidente del Consejo Nacional Electoral - Cesar Augusto Abreo"",""Magistrado del Consejo Nacional Electoral - Hernan Penagos Giraldo"",""Magistrada del Consejo Nacional Electoral - Doris Ruth Mendez""]","Revisión corte constitucional","Comisión Primera Constitucional Permanente",Senado,2022-2026,2022-2023,https://www.camara.gov.co/codigo-electoral-2,"POR LA CUAL SE EXPIDE EL CÓDIGO DEL REGISTRO CIVIL, IDENTIFICACIÓN DE LAS PERSONAS Y EL PROCESO ELECTORAL COLOMBIANO","El presente Código tiene por objeto regular el derecho constitucional fundamental a elegir y ser elegido, las atribuciones de las autoridades públicas que ejercen funciones electorales y de los particulares cuando la ejerzan transitoriamente, como también los para su ejercicio, con el fin de asegurar que el proceso electoral, el resultado de las elecciones y demás manifestaciones de la participación política electoral  representen con fidelidad, autenticidad, imparcialidad, transparencia y efectividad, la voluntad de sus titulares."
417/2023C,,"CONCENTRADO PARA ANIMALES SIN IVA","Ley Ordinaria","[""H.S.Andrea Padilla Villarraga"",""H.R.Wilmer Yair Castellanos Hernández"",""H.R.Luvi Katherine Miranda Peña"",""H.R.Olga Lucia Velásquez Nieto"",""H.R.Wilder Iberson Escobar Ortiz"",""H.R.Duvalier Sánchez Arango"",""H.R.Alejandro García Ríos"",""H.R.Daniel Carvalho Mejía"",""H.R.Juan Diego Muñoz Cabrera""]","Trámite en Plenaria","Comisión Tercera o de Hacienda y Crédito Público","Cámara",2022-2026,2022-2023,https://www.camara.gov.co/concentrado-para-animales-sin-iva,"POR MEDIO DEL CUAL SE MODIFICA EL ESTATUTO TRIBUTARIO CON EL FIN DE EXCLUIR DEL PAGO DEL IVA EL ALIMENTO PARA ANIMALES DOMÉSTICOS DE COMPAÑÍA","La presente ley tiene por objeto modificar el Estatuto Tributario, con el fin de excluir del pago del impuesto al Valor Agregado (IVA) las preparaciones de los tipos utilizados para la alimentación de los animales domésticos de compañía, ofreciendo garantías para la vida y el bienestar de los animales."
416/2023C,330/2023S,DIPUTADOS,"Ley Ordinaria","[""Ministro del Interior - Luis Fernando Velasco Chaves""]",Ley,"Comisión Primera Constitucional Permanente",Senado,2022-2026,2022-2023,https://www.camara.gov.co/diputados,"POR LA CUAL SE ESTABLECEN LOS PARÁMETROS PARA DETERMINAR EL NÚMERO DE DIPUTADOS","La iniciativa legislativa tiene por objeto establecer los parámetros y reglas, para definir el número de diputados a integrar cada una de las Asambleas Departamentales, de conformidad con los límites máximos y mínimos señalados por el artículo 299 de la Constitución Política de Colombia."
