numeroCamara,numeroSenado,tituloCorto,tipo,autores,estado,comision,origen,cuatrenio,legislatura,url,tituloLargo,objeto
408/2019C,60/2018S,"SEGURIDAD CIUDADANA","Ley Ordinaria","[""Fiscal General de la Nación NESTOR HUMBERTO MARTÍNEZ NEIRA"",""Alcalde de Bogotá D.C. ENRIQUE PEÑALOZA LONDOÑO"",""Alcalde de Santiago de Cali NORMAN MAURICE ARMITAGE"",""Alcalde de Medellín FEDERICO GUTIEREZ ZULUAGA"",""Alcalde de Valledupar AUGUSTO RAMIEZ UHIA"",""Alcalde de Tunja PABLO EMILIO CEPEDA NOVOA"",""Alcalde de Ibagué GUILLERMO ALFONSO JARAMILO"",""Alcalde de Villavicencio WILMAR ORLANDO BARBOSA ROZO"",""Alcalde de Neiva RODRIGO ARMANDO LARA SANCHEZ"",""Y otras firmas""]","Trámite en Comisión","Comisión Primera Constitucional Permanente",Senado,2018-2022,2018-2019,https://www.camara.gov.co/seguridad-ciudadana,"POR MEDIO DE LA CUAL SE ADOPTAN DISPOSICIONES DE FORTALECIMIENTO DE SEGURIDAD CIUDADANA",""
407/2019C,54/2018S,BANCOS,"Ley Ordinaria","[""H.S.David Alejandro Barguil Assis"",""H.S.Juan Carlos García Gómez"",""H.R.Jaime Felipe Lozada Polanco"",""H.R.Yamil Hernando Arana Padaui"",""H.R.Adriana Magali Matiz Vargas"",""H.R.María Cristina Soto De Gómez""]",Ley,"Comisión Tercera o de Hacienda y Crédito Público",Senado,2018-2022,2018-2019,https://www.camara.gov.co/bancos,"POR MEDIO DE LA CUAL SE INCLUYEN SIN COSTO ADICIONAL UN PAQUETE DE PRODUCTOS Y/O SERVICIOS FINANCIEROS POR EL PAGO DE LA CUOTA DE MANEJO DE LAS TARJETAS DÉBITO Y CRÉDITO",""
406/2019C,,"PRISIÓN PERPETUA","Acto Legislativo","[""Martha Patricia Villalba Hodwalker"",""Sara Elena Piedrahita Lyons"",""Jorge Enrique Burgos Lugo"",""Norma Hurtado Sánchez"",""Erasmo Elías Zuleta Bechara"",""Monica Liliana Valencia Montaña"",""Milene Jarava Díaz"",""Silvio José Carrasquilla Torres"",""Aquileo Medina Arteaga"",""José Elver Hernández Casas"",""Rodrigo Arturo Rojas Lara"",""Astrid Sánchez Montes De Oca"",""Adriana Magali Matiz Vargas"",""José Daniel López Jiménez"",""Hernando Guida Ponce"",""Carlos Alberto Cuenca Chaux"",""Erwin Arias Betancur"",""Harry Giovanny González García"",""Monica Maria Raigoza Morales"",""Flora Perdomo Andrade"",""José Eliécer Salazar López"",""Anatolio Hernández Lozano"",""Elbert Díaz Lozano"",""Alonso José del Rio Cabarcas"",""Adriana Gómez Millán"",""Kelyn Johana González Duarte"",""Emeterio José Montes De Castro"",""Gloria Betty Zorro Africano"",""Abel David Jaramillo Largo"",""Carlos Eduardo Acosta Lozano"",""Teresa De Jesús Enríquez Rosero"",""Álvaro Henry Monedero RiveraMaritza Martínez Aristizábal"",""José David Name Cardozo"",""Roosvelt Rodríguez Rengifo""]",Archivado,"Comisión Primera Constitucional Permanente","Cámara",2018-2022,2018-2019,https://www.camara.gov.co/prision-perpetua-3,,
405/2019C,067/2018S,"ESPACIOS NA","Ley Ordinaria","[""H.S.Maria del Rosario Guerra de la Espriella""]","Trámite en Plenaria","Comisión Tercera o de Hacienda y Crédito Público",Senado,2018-2022,2018-2019,https://www.camara.gov.co/espacios-na,"POR EL CUAL SE MODIFICA EL ARTÍCULO 6 DE LA LEY 388 DE 1997"" (Espacios NA)",""
404/2019C,202/2018S,"CANASTA FAMILIAR","Ley Ordinaria","[""H.S.Álvaro Uribe Vélez"",""H.S.Gabriel Velasco Ocampo"",""H.S.Paloma Susana Valencia Laserna"",""H.S.Carlos Manuel Meisel Vergara"",""H.S.John Harold Suarez Vargas"",""H.S.Carlos Felipe Mejía Mejía"",""H.S.Paola Andrea Holguín Moreno"",""H.S.Milla Romero Soto"",""H.S.Fernando Nicolás Araújo Rumié""]","Trámite en Comisión","Comisión Séptima Constitucional Permanente",Senado,2018-2022,2018-2019,https://www.camara.gov.co/canasta-familiar,"POR MEDIO DEL CUAL SE CREA LA PRIMA LEGAL PARA LA CANASTA FAMILIAR",""
403/2019C,237/2018S,"HOMENAJE AL SOCORRO","Ley Ordinaria","[""H.S.Carlos Fernando Galán Pachón"",""H.R.José Luis Pérez Oyuela""]","Sancion Presidencial","Comisión Segunda o de Relaciones Internacionales",Senado,2018-2022,2018-2019,https://www.camara.gov.co/homenaje-al-socorro,"POR LA CUAL LA NACIÓN EXALTA Y RINDE HOMENAJE AL MUNICIPIO DEL SOCORRO, DEPARTAMENTO DE SANTANDER, POR SU APORTE PIONERO A LA LIBERTAD Y A LA DEMOCRACIA DE LOS COLOMBIANOS",""
402/2019C,251/2019S,APATRIDIA,"Ley Ordinaria","[""Defensor del Pueblo"",""doctor CARLOS ALFONSO NEGRET MOSQUERA""]",Ley,"Comisión Segunda o de Relaciones Internacionales",Senado,2018-2022,2018-2019,https://www.camara.gov.co/apatridia,"POR MEDIO DEL CUAL SE ESTABLECE UN RÉGIMEN ESPECIAL PARA ADQUIRIR LA NACIONALIDAD COLOMBIANA POR ADOPCIÓN, PARA HIJOS E HIJAS DE VENEZOLANOS EN SITUACIÓN DE INMIGRACIÓN IRREGULAR NACIDOS EN TERRITORIO COLOMBIANO, CON EL FIN DE PREVENIR LA APATRIDIA",""
401/2019C,012/2018S,"ESCUELA PARA PADRES","Ley Ordinaria","[""H.S.John Milton Rodriguez Gonzalez"",""H.S.Eduardo Emilio Pacheco Cuello"",""H.S.Edgar Enrique Palacio Mizrahi"",""H.R.Carlos Eduardo Acosta Lozano""]","Sancion Presidencial","Comisión Sexta o de Transportes y Comunicaciones",Senado,2018-2022,2018-2019,https://www.camara.gov.co/escuela-para-padres,"POR MEDIO DEL CUAL SE ESTABLECEN LINEAMIENTO PARA LA IMPLEMENTACIÓN DE LAS ESCUELAS PARA PADRES Y MADRES EN LAS INSTITUCIONES DE EDUCACIÓN PREESCOLAR, BÁSICA Y MEDIA DEL PAÍS, SE DEROGA LA LEY 1404 DE 2010 Y SE DICTAN OTRAS DISPOSICIONES",""
400/2019C,017/2018S,"FONDO CARTAGENA","Ley Ordinaria","[""H.S.Fernando Nicolás Araújo Rumié""]","Trámite en Comisión","Comisión Tercera o de Hacienda y Crédito Público",Senado,2018-2022,2018-2019,https://www.camara.gov.co/fondo-cartagena,"POR MEDIO DE LA CUAL SE CREA EL FONDO DE SUSTENTABILIDAD PRO-CARTAGENA 500 AÑOS PARA LA ERRADICACIÓN DE LA POBREZA EXTREMA EN EL DISTRITO TURÍSTICO Y CULTURAL DE CARTAGENA DE INDIAS PARA EL AÑO 2033",""
399/2019C,081/2018S,"CONVENIO DOBLE TRIBUTACIÓN","Ley Ordinaria","[""Ministra de Relaciones Exteriores"",""doctora MARÍA ÁNGELA HOLGUÍN CUELLAR"",""Ministro de Hacienda y Crédito Público"",""doctor MAURICIO CÁRDENAS SANTAMARÍA""]","Sancion Presidencial","Comisión Segunda o de Relaciones Internacionales",Senado,2018-2022,2018-2019,https://www.camara.gov.co/convenio-doble-tributacion,"POR MEDIO DE LA CUAL SE APRUEBA EL«CONVENIO ENTRE EL GOBIERNO DE LA REPÚBLICA DE COLOMBIA Y EL GOBIERNO DE LA REPÚBLICA ITALIANA PARA LA ELIMINACIÓN DE LA DOBLE TRIBUTACIÓN CON RESPECTO A LOS IMPUESTOS SOBRE LA RENTA Y LA PREVENCIÓN DE LA EVASIÓN Y ELUSIÓN TRIBUTARIAS» Y SU «PROTOCOLO», SUSCRITOS EN ROMA, EL 26 DE ENERO DE 2018",""
